Year,Location,Bedrooms,Property_type,Rent
2009,"Spencer Dock, Dublin 1",All bedrooms,All property types,1461.25
2009,"Summerhill, Dublin 1",All bedrooms,All property types,1144.47
2009,Dublin 2,All bedrooms,All property types,1300.05
2009,"Aungier Street, Dublin 2",All bedrooms,All property types,1027.79
2009,"Charlemont Street, Dublin 2",All bedrooms,All property types,1366.88
2009,"Grand Canal Dock, Dublin 2",All bedrooms,All property types,1585.25
2009,"Grand Canal Square, Dublin 2",All bedrooms,All property types,1601.47
2009,"Hanover Quay, Dublin 2",All bedrooms,All property types,1753.07
2009,"Lower Mount Street, Dublin 2",All bedrooms,All property types,1146.99
2009,"Pearse Street, Dublin 2",All bedrooms,All property types,1175.94
2009,"Tara Street, Dublin 2",All bedrooms,All property types,1149.61
2009,"Temple Bar, Dublin 2",All bedrooms,All property types,1250.98
2009,"Townsend Street, Dublin 2",All bedrooms,All property types,1244.08
2009,Dublin 3,All bedrooms,All property types,1097.58
2009,"Clonliffe, Dublin 3",All bedrooms,All property types,984.24
2009,"Clontarf, Dublin 3",All bedrooms,All property types,1157.61
2009,"Drumcondra, Dublin 3",All bedrooms,All property types,1087.19
2009,"East Wall, Dublin 3",All bedrooms,All property types,1099.17
2009,"Fairview, Dublin 3",All bedrooms,All property types,951.54
2009,"Marino, Dublin 3",All bedrooms,All property types,1264.35
2009,"North Strand, Dublin 3",All bedrooms,All property types,1025.4
2009,Dublin 4,All bedrooms,All property types,1401.59
2009,"Ballsbridge, Dublin 4",All bedrooms,All property types,1502.95
2009,"Donnybrook, Dublin 4",All bedrooms,All property types,1408.83
2009,"Irishtown, Dublin 4",All bedrooms,All property types,1238.43
2009,"Merrion, Dublin 4",All bedrooms,All property types,1380.88
2009,"Pembroke, Dublin 4",All bedrooms,All property types,1327.71
2009,"Ringsend, Dublin 4",All bedrooms,All property types,1257.6
2009,"Sandymount, Dublin 4",All bedrooms,All property types,1513.35
2009,Dublin 5,All bedrooms,All property types,1193.23
2009,"Artane, Dublin 5",All bedrooms,All property types,1202.74
2009,"Killester, Dublin 5",All bedrooms,All property types,1180.67
2009,"Raheny, Dublin 5",All bedrooms,All property types,1221.59
2009,Dublin 6,All bedrooms,All property types,1073.83
2009,"Dartry, Dublin 6",All bedrooms,All property types,1431.01
2009,"Harolds Cross, Dublin 6",All bedrooms,All property types,1126.88
2009,"Milltown, Dublin 6",All bedrooms,All property types,1417.4
2009,"Ranelagh, Dublin 6",All bedrooms,All property types,1167.08
2009,"Rathgar, Dublin 6",All bedrooms,All property types,1037.64
2009,"Rathmines, Dublin 6",All bedrooms,All property types,941.52
2009,"Terenure, Dublin 6",All bedrooms,All property types,1172.02
2009,Dublin 6W,All bedrooms,All property types,1210.04
2009,"Harolds Cross, Dublin 6W",All bedrooms,All property types,1149.25
2009,"Templeogue, Dublin 6W",All bedrooms,All property types,1249.89
2009,"Terenure, Dublin 6W",All bedrooms,All property types,1280.25
2009,Dublin 7,All bedrooms,All property types,996.91
2009,"Arbour Hill, Dublin 7",All bedrooms,All property types,1200.19
2009,"Cabra, Dublin 7",All bedrooms,All property types,943.88
2009,"Navan Road, Dublin 7",All bedrooms,All property types,1156.67
2009,"North Circular Road, Dublin 7",All bedrooms,All property types,1002.58
2009,"Phibsboro, Dublin 7",All bedrooms,All property types,880.49
2009,"Smithfield, Dublin 7",All bedrooms,All property types,1215.81
2009,"Stoneybatter, Dublin 7",All bedrooms,All property types,1054.9
2009,Dublin 8,All bedrooms,All property types,1042.88
2009,"Christchurch, Dublin 8",All bedrooms,All property types,1049.4
2009,"Cork Street, Dublin 8",All bedrooms,All property types,1122.85
2009,"Dolphins Barn, Dublin 8",All bedrooms,All property types,1080.0
